codtno,tno,estatus,id_sede,Sede,Nacionalidad,No de Cedula,Apellidos,Nombres,Genero,Fecha de Ingreso,id_cargo,Cargo,id_unidad_ejecutora,Autoridad,id_dependencia,Departamento
1,DOCEN,ACTIVO,30,SARTENEJAS,E,1086621,SANCHEZ SANCHEZ,ROBERTO JUAN,MASCULINO,28-Oct-76,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,1033946,GOMEZ DIAZ,BARBARA SUSAN,FEMENINO,5-Jan-83,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,6,DEPENDENCIA SOBREVIVIENTES
1,DOCEN,ACTIVO,30,SARTENEJAS,E,387211,MILLER,JUDITH CAROL,FEMENINO,11-Jan-81,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,572265,MORENO RODRIGUEZ,BETTY,FEMENINO,10-Sep-79,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,80825355,GOMEZ MEDINA,SANDRA PATRICIA,FEMENINO,12-Jul-91,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81648409,MARTINEZ MORENO,JAIME ROBERTO,MASCULINO,3-Nov-67,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81873003,DIAZ HERNANDEZ,PATRICIA,FEMENINO,26-Jun-70,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81965709,VACA GARCIA,JUAN CARLOS,MASCULINO,8-Jun-79,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81269833,CASTILLO RODRIGUEZ,RICARDO,MASCULINO,30-Mar-82,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81918383,SANCHEZ,NANCY PATRICIA,FEMENINO,1-Jul-76,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81551776,LOPEZ ROJAS,ROBERTO,MASCULINO,1-Jul-69,876,PROFESOR,50,VICERECTORADO ACADEMICO,80,DEPARTAMENTO DE METAFÍSICA
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81265765,LOPEZ PEREZ,TERESA LAURA,FEMENINO,28-Nov-06,876,PROFESOR,50,VICERECTORADO ACADEMICO,93,DIVISIÓN DE CIENCIAS SOCIALES Y HUMANIDADES
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81245770,MENDOZA,JUAN GUILLERMO,MASCULINO,4-Nov-76,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81558240,LOPEZ MARTIN,JOSE,MASCULINO,22-May-85,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81968470,MARTIN RODRIGUEZ,JUAN RICARDO,MASCULINO,29-Apr-74,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81165659,GOMEZ DIAZ,CARLOS GUILLERMO,MASCULINO,20-Sep-69,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81518229,ROMERO MARTIN,CAROL,FEMENINO,12-Jan-93,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,6,DEPENDENCIA SOBREVIVIENTES
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81162012,DAVIS GUTIERREZ,JAIME ROBERTO,MASCULINO,2-Sep-77,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81160494,GOMEZ PEREZ,WESLEY,MASCULINO,29-Oct-77,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81581541,FERNANDEZ MARTINEZ,SANDRA,FEMENINO,1-Apr-71,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81870491,LOPEZ GOMEZ,KENNETH,MASCULINO,6-Oct-80,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81152770,ROMERO TORRES,BRADLEY,MASCULINO,25-May-83,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,81611650,FERNANDEZ MEDINA,JAIME TOMAS,MASCULINO,1-Jun-77,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,82703154,ALONZO DAVIS,DENISE,FEMENINO,3-Jul-97,876,PROFESOR,50,VICERECTORADO ACADEMICO,99,DEPARTAMENTO DE LENGUAS MUERTAS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,82536868,JONES ROJAS,GUILLERMO,MASCULINO,19-Jun-90,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,82225697,ROMERO MEDINA,JORGE TOMAS,MASCULINO,28-Jul-85,876,PROFESOR,29,VICERECTORADO ADMINISTRATIVO,4,DEPENDENCIA JUBILADOS
1,DOCEN,ACTIVO,30,SARTENEJAS,E,82163795,CASTILLO DIAZ,BRIAN MATEO,MASCULINO,18-Jan-06,876,PROFESOR,50,VICERECTORADO ACADEMICO,79,DEPARTAMENTO DE DIVINACIÓN
